Sudirman Yohanes Gunardi, S.T.
Ratna Cinta Wibowo, S.Sos.
Lawardi Nuo, S.T.
Tjahjana Tao
Rawda Petta, S.T.
Zina Hutasuhut, S.Ag.
Talitha Sipahutar
Mara Banjarnahor, S.T.
Dwi, S.Ag.
Megawati, S.Ag.
Johan Sugiarto Lesmono
Bima Suryadi Hardja, S.Sos.
Witoelar Jiang, S.Kom.
Rusli Shoushan, M.T.
Gerwin Papilaya, S.Si.
Zebulun Manihuruk, S.T.
Uriah Baeha, S.Kom.
Nahum Wuruwu, S.Ag.
Budiono
Johan Sugiarto Lesmono, S.Sos.
Bima Suryadi Hardja, S.Kom.
Witoelar Jiang, S.Ag.
Rusli Shoushan, S.Ag.
Gerwin Papilaya, S.Si.
Zebulun Manihuruk, S.Kom.
Uriah Baeha, S.Si.
Nahum Wuruwu, M.T.
Budiono, S.Si.
Yuliana Susanti Salim, S.Ag.
Inge Sinta Susman, S.Ag.
Limantara Daiyu, S.Sos.
Limantara Qingge, S.Psi.
Noor Cresbon, S.Ag.
Leah Lumbangaol, S.Ag.
Rose Naiborhu, S.Kom.
Hannah Capah, S.Ag.
Laksmini, S.Kom.
Suminten, S.Ag.
Eka Indra Setiabudi, S.Pt.
Tirto Deddy Lesmono, S.Sos.
Hartanoe Yunxu, S.Ag.
Leman Cheung, S.Ag.
Kristan Pattikawa, S.Ag.
Daniel Kacaribu
Tobias Tinambunan, S.Ag.
Benjamin Sianipar, S.Si.
Purnama, S.Ag.
Purwodarminto, S.Ag.
Wangi Eko Sugiarto, S.Ag.
Wulan Glenna Sanjaya, M.T.
Suwandi Yüzhen
Widjaja Shun, S.Psi.
Bianca Boky, S.Ag.
Carmel Kacinambun, S.T.
Adriel Sibabiat, M.T.
Neriah Rea, S.Ag.
Surtinem
Surati, S.T.
, S.Psi.
